user_id,article_id_BWS,TOP-K_BWS
brnada-FALTER_20211201_1FE873026D,FALTER_20220608_E67B54FF98,1
brnada-FALTER_20211201_1FE873026D,FALTER_20220330_73CAF44312,2
brnada-FALTER_20211201_1FE873026D,FALTER_20220126_5FA47BB63A,3
brnada-FALTER_20211201_1FE873026D,FALTER_20220119_DC6490CEC7,4
brnada-FALTER_20211201_1FE873026D,FALTER_20211215_AF0C90B712,5
brnada-FALTER_20211201_1FE873026D,FALTER_20220209_1C0C95BDCB,6
brnada-FALTER_20211201_1FE873026D,FALTER_20220803_6CB53C4244,7
brnada-FALTER_20211201_1FE873026D,FALTER_20220112_8EAECAFBBC,8
brnada-FALTER_20211201_1FE873026D,FALTER_20220406_7C4E975FD1,9
brnada-FALTER_20211201_1FE873026D,FALTER_20221005_AEB2C76D66,10
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_04EB44E2A2,11
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_E7A625F5A8,12
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_A35407C20B,13
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_FD8F17EAB4,14
brnada-FALTER_20211201_1FE873026D,FALTER_20211222_40076C3AB9,15
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220525_276AE25D1D,1
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221116_3913A4A32F,2
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221005_9D521E3226,3
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221005_77EFA42061,4
brnada-FALTER_20211208_CCFF6620C5,FALTER_20211222_40076C3AB9,5
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220323_7BA7F66071,6
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220713_932271D866,7
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221130_040A811F32,8
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220126_5FA47BB63A,9
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220608_F70F9ED753,10
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220518_B804602C3C,11
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220309_F7DC749A0D,12
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220907_E1CBB33DF0,13
brnada-FALTER_20211208_CCFF6620C5,FALTER_20221026_18EA474D13,14
brnada-FALTER_20211208_CCFF6620C5,FALTER_20220518_D9551C3082,15
brnada-FALTER_20211215_2A088C305E,FALTER_20220615_FAF392ED7C,1
brnada-FALTER_20211215_2A088C305E,FALTER_20221116_43D92DB2B6,2
brnada-FALTER_20211215_2A088C305E,FALTER_20220921_347CB5C321,3
brnada-FALTER_20211215_2A088C305E,FALTER_20221109_6B8EF9C1FB,4
brnada-FALTER_20211215_2A088C305E,FALTER_20220706_8CD3003E2A,5
brnada-FALTER_20211215_2A088C305E,FALTER_20220608_393A7DC474,6
brnada-FALTER_20211215_2A088C305E,FALTER_20211222_04EB44E2A2,7
brnada-FALTER_20211215_2A088C305E,FALTER_20220921_54188C4144,8
brnada-FALTER_20211215_2A088C305E,FALTER_20211222_E7A625F5A8,9
brnada-FALTER_20211215_2A088C305E,FALTER_20220209_A2A33B7FC0,10
brnada-FALTER_20211215_2A088C305E,FALTER_20220727_7BBF96391C,11
brnada-FALTER_20211215_2A088C305E,FALTER_20220803_F2C9E4BA31,12
brnada-FALTER_20211215_2A088C305E,FALTER_20220525_276AE25D1D,13
brnada-FALTER_20211215_2A088C305E,FALTER_20220209_D48F09F14F,14
brnada-FALTER_20211215_2A088C305E,FALTER_20220112_8EAECAFBBC,15
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220323_B272A60E63,1
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220511_4CA6D4AD5B,2
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220202_CC707934FF,3
brnada-FALTER_20211222_9E057FCFEF,FALTER_20211222_B0A321871F,4
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220119_C283C25931,5
brnada-FALTER_20211222_9E057FCFEF,FALTER_20221012_C21916991D,6
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220309_ADE3AE6224,7
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220302_6D4E5FFAA4,8
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220223_D15FB0110C,9
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220511_71668B1344,10
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220713_211D121941,11
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220622_0B5FC98B29,12
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220713_CAAE68A65F,13
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220216_154FB2A50F,14
brnada-FALTER_20211222_9E057FCFEF,FALTER_20220112_5123F1A704,15
brnada-FALTER_20220126_8843A13D9D,FALTER_20220126_5FA47BB63A,1
brnada-FALTER_20220126_8843A13D9D,FALTER_20220202_98620A8CFE,2
brnada-FALTER_20220126_8843A13D9D,FALTER_20220223_F82A34E466,3
brnada-FALTER_20220126_8843A13D9D,FALTER_20220112_8EAECAFBBC,4
brnada-FALTER_20220126_8843A13D9D,FALTER_20220330_73CAF44312,5
brnada-FALTER_20220126_8843A13D9D,FALTER_20211222_BA9781D05E,6
brnada-FALTER_20220126_8843A13D9D,FALTER_20220803_6CB53C4244,7
brnada-FALTER_20220126_8843A13D9D,FALTER_20211215_AF0C90B712,8
brnada-FALTER_20220126_8843A13D9D,FALTER_20220706_2C863FCC5F,9
brnada-FALTER_20220126_8843A13D9D,FALTER_20221019_C7B0CE1462,10
brnada-FALTER_20220126_8843A13D9D,FALTER_20220420_E2855BC9AE,11
brnada-FALTER_20220126_8843A13D9D,FALTER_20211222_E7A625F5A8,12
brnada-FALTER_20220126_8843A13D9D,FALTER_20211222_04EB44E2A2,13
brnada-FALTER_20220126_8843A13D9D,FALTER_20211222_40076C3AB9,14
brnada-FALTER_20220126_8843A13D9D,FALTER_20220518_B804602C3C,15
brnada-FALTER_20220223_269DAE0D66,FALTER_20220209_5CA8DCBD6D,1
brnada-FALTER_20220223_269DAE0D66,FALTER_20220406_EA00DAEC2E,2
brnada-FALTER_20220223_269DAE0D66,FALTER_20220518_4460B08F42,3
brnada-FALTER_20220223_269DAE0D66,FALTER_20220518_4940544DDD,4
brnada-FALTER_20220223_269DAE0D66,FALTER_20220216_1011C22CF7,5
brnada-FALTER_20220223_269DAE0D66,FALTER_20220525_04F1FE7FB2,6
brnada-FALTER_20220223_269DAE0D66,FALTER_20220921_B6B7C27F2B,7
brnada-FALTER_20220223_269DAE0D66,FALTER_20220209_16A18EC699,8
brnada-FALTER_20220223_269DAE0D66,FALTER_20220824_56AF6D9EAD,9
brnada-FALTER_20220223_269DAE0D66,FALTER_20221026_18EA474D13,10
brnada-FALTER_20220223_269DAE0D66,FALTER_20220202_CC707934FF,11
brnada-FALTER_20220223_269DAE0D66,FALTER_20220309_A08F92CAF9,12
brnada-FALTER_20220223_269DAE0D66,FALTER_20221116_A42AA55DC7,13
brnada-FALTER_20220223_269DAE0D66,FALTER_20220525_276AE25D1D,14
brnada-FALTER_20220223_269DAE0D66,FALTER_20220511_71668B1344,15
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220302_A898C15939,1
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220928_E5DF2B1850,2
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220216_154FB2A50F,3
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220406_CFF3E4B722,4
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220302_19351A344E,5
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20221109_C78F5CC05B,6
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220921_22135BD9FB,7
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220713_038D7E7989,8
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20221102_92EEC85C8A,9
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220216_0CFAC71764,10
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20221005_F230902738,11
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220223_EB79F5F51E,12
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20211222_96F3A54AA0,13
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220413_EDC7023A23,14
brnada-FALTER_20220223_27DE9DFAF4,FALTER_20220323_2D65096906,15
brnada-FALTER_20220302_19351A344E,FALTER_20220302_A898C15939,1
brnada-FALTER_20220302_19351A344E,FALTER_20220216_154FB2A50F,2
brnada-FALTER_20220302_19351A344E,FALTER_20220928_E5DF2B1850,3
brnada-FALTER_20220302_19351A344E,FALTER_20220406_CFF3E4B722,4
brnada-FALTER_20220302_19351A344E,FALTER_20221102_92EEC85C8A,5
brnada-FALTER_20220302_19351A344E,FALTER_20220309_54EDF6DE99,6
brnada-FALTER_20220302_19351A344E,FALTER_20220309_1C6B8418BE,7
brnada-FALTER_20220302_19351A344E,FALTER_20220518_B804602C3C,8
brnada-FALTER_20220302_19351A344E,FALTER_20220921_22135BD9FB,9
brnada-FALTER_20220302_19351A344E,FALTER_20220330_501B548D7A,10
brnada-FALTER_20220302_19351A344E,FALTER_20220323_A229E0EDC3,11
brnada-FALTER_20220302_19351A344E,FALTER_20220413_EDC7023A23,12
brnada-FALTER_20220302_19351A344E,FALTER_20220323_2D65096906,13
brnada-FALTER_20220302_19351A344E,FALTER_20220323_9D2681AD74,14
brnada-FALTER_20220302_19351A344E,FALTER_20221116_2C69901D73,15
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220810_8E36475C03,1
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220629_2D1EF3F677,2
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220330_C0D90F157B,3
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220803_64C0733884,4
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220302_19351A344E,5
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220309_550DDBD939,6
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220309_42A389810E,7
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220413_92BC5802FB,8
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220309_1C6B8418BE,9
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220223_27DE9DFAF4,10
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220216_154FB2A50F,11
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220504_88561D5AE3,12
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220413_EDC7023A23,13
brnada-FALTER_20220302_57B22E6ACE,FALTER_20220921_22135BD9FB,14
brnada-FALTER_20220302_57B22E6ACE,FALTER_20211222_96F3A54AA0,15
brnada-FALTER_20220309_42A389810E,FALTER_20220316_C33003D020,1
brnada-FALTER_20220309_42A389810E,FALTER_20220309_0239B6A0BC,2
brnada-FALTER_20220309_42A389810E,FALTER_20220928_E5DF2B1850,3
brnada-FALTER_20220309_42A389810E,FALTER_20220713_038D7E7989,4
brnada-FALTER_20220309_42A389810E,FALTER_20220330_12EF29740D,5
brnada-FALTER_20220309_42A389810E,FALTER_20220216_154FB2A50F,6
brnada-FALTER_20220309_42A389810E,FALTER_20220330_4D56533486,7
brnada-FALTER_20220309_42A389810E,FALTER_20220323_A229E0EDC3,8
brnada-FALTER_20220309_42A389810E,FALTER_20220928_C7F1FD40C8,9
brnada-FALTER_20220309_42A389810E,FALTER_20220309_1C6B8418BE,10
brnada-FALTER_20220309_42A389810E,FALTER_20220302_19351A344E,11
brnada-FALTER_20220309_42A389810E,FALTER_20220810_8E36475C03,12
brnada-FALTER_20220309_42A389810E,FALTER_20220518_B804602C3C,13
brnada-FALTER_20220309_42A389810E,FALTER_20220921_22135BD9FB,14
brnada-FALTER_20220309_42A389810E,FALTER_20220511_964B3F8189,15
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220525_52B6E1A964,1
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220406_CFF3E4B722,2
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220309_E0E0B5AA9A,3
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220309_54EDF6DE99,4
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220518_D9551C3082,5
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220316_8AE2382F6B,6
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220518_B804602C3C,7
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220302_19351A344E,8
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220413_EDC7023A23,9
brnada-FALTER_20220323_2CE7FEE241,FALTER_20221109_F45292DD67,10
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220216_154FB2A50F,11
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220921_22135BD9FB,12
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220413_8CAD826DDB,13
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220727_8183AA9689,14
brnada-FALTER_20220323_2CE7FEE241,FALTER_20220803_8ACD9FFD49,15
brnada-FALTER_20220330_426C78A4CD,FALTER_20220518_48A2BFD79B,1
brnada-FALTER_20220330_426C78A4CD,FALTER_20220921_5C8C32E30D,2
brnada-FALTER_20220330_426C78A4CD,FALTER_20220406_DA8363C875,3
brnada-FALTER_20220330_426C78A4CD,FALTER_20220406_B0F9C3BD78,4
brnada-FALTER_20220330_426C78A4CD,FALTER_20220511_6268F6609B,5
brnada-FALTER_20220330_426C78A4CD,FALTER_20211222_E7A625F5A8,6
brnada-FALTER_20220330_426C78A4CD,FALTER_20220126_686D36A25A,7
